"season","team_score","opponent_team_score","assists","blocks","defensive_rebounds","offensive_rebounds","two_point_field_goal_pct","two_point_field_goals_attempted","three_point_field_goal_pct","three_point_field_goals_attempted","turnovers","free_throw_pct","free_throws_attempted","wins","losses","team_display_name","conf","mov","ortg","drtg","nrtg","mov.a","ortg.a","drtg.a","nrtg.a","playoffs_flag"
2003,98.1219512195122,96.0487804878049,25.2439024390244,5.28048780487805,31.8780487804878,11.6951219512195,0.479844079310497,73.2317073170732,36.2060975609756,9.80487804878049,13.7073170731707,76.7231707317073,22.2682926829268,51,31,"Minnesota Timberwolves","W",2.07,106.81,104.5,2.31,2.46,106.97,104.23,2.73,1
2003,95.3658536585366,90.1463414634146,23.0121951219512,4.5609756097561,30.8292682926829,12.0853658536585,0.462516918204568,67.609756097561,33.1646341463415,12.6951219512195,14.780487804878,75.9646341463415,26.7682926829268,49,33,"New Jersey Nets","E",5.22,104.42,98.8,5.62,4.42,103.93,99.18,4.75,1
2003,95.8536585365854,97.2073170731707,21.9512195121951,3.10975609756098,28.9756097560976,10.2682926829268,0.460333368232069,62.719512195122,38.3621951219512,19.2926829268293,14.0121951219512,82.1024390243903,19.7560975609756,37,45,"New York Knicks","E",-1.35,105.34,106.81,-1.47,-1.61,105.37,107.12,-1.75,0
2003,98.5121951219512,98.3658536585366,20.4390243902439,3.65853658536585,29.1707317073171,11.6829268292683,0.462166314792413,63.0853658536585,35.9439024390244,19.390243902439,14.3536585365854,77.8243902439024,25.3536585365854,42,40,"Orlando Magic","E",0.13,105.84,105.72,0.12,-0.39,105.75,106.2,-0.45,1
2003,92.6707317073171,93.0365853658537,19.2073170731707,3.69512195121951,30.1341463414634,10.3536585365854,0.455775719779806,53.0975609756098,33.0109756097561,26.280487804878,13.9878048780488,73.8085365853659,24.3170731707317,44,38,"Boston Celtics","E",-0.39,101.9,102.33,-0.43,-0.75,101.78,102.59,-0.81,1
2003,96.8414634146341,94.5365853658537,21.5975609756098,3.46341463414634,29.4512195121951,12.7073170731707,0.467901312231499,71.3780487804878,31.5085365853659,9.59756097560976,14.780487804878,76.9573170731707,27.4756097560976,48,34,"Philadelphia 76ers","E",2.3,105.78,103.26,2.52,1.76,105.6,103.68,1.93,1
2003,95.5365853658537,94.3536585365854,20.9634146341463,4.92682926829268,29.7560975609756,12.7926829268293,0.466844679835941,68.6219512195122,33.7975609756098,14.0121951219512,14.7317073170732,74.6963414634146,23.5121951219512,44,38,"Phoenix Suns","W",1.13,104.48,103.21,1.27,1.57,104.58,102.83,1.74,1
2003,95.1585365853659,92.5487804878049,22.6829268292683,3.85365853658537,29,12.0975609756098,0.489945412783927,65.1341463414634,33.1012195121951,14.0243902439024,15.219512195122,74.2646341463415,23.7439024390244,50,32,"Portland Trail Blazers","W",2.61,106.41,103.58,2.83,2.98,106.52,103.29,3.23,1
2003,101.731707317073,95.2317073170732,24.8048780487805,5.57317073170732,33.5487804878049,10.9756097560976,0.483587758331345,69.5365853658537,37.9487804878049,15.7073170731707,14.5365853658537,74.9621951219512,22.3414634146341,59,23,"Sacramento Kings","W",6.5,106.45,99.5,6.95,6.68,106.36,99.2,7.16,1
2003,95.8048780487805,90.3780487804878,19.9512195121951,6.45121951219512,31.1707317073171,11.4512195121951,0.490742957388713,61.3048780487805,35.0073170731707,15.4878048780488,15.7926829268293,72.2365853658537,26.7560975609756,60,22,"San Antonio Spurs","W",5.41,106.25,100.29,5.96,5.65,106.2,99.99,6.22,1
