,team_abbreviation,season,age,player_height,player_weight,draft_number
139,CLE,2017-18,29,201.77125,101.604608,22.07692308
140,CLE,2018-19,26.14285714,200.4180952,97.95427238,18.73333333
141,CLE,2019-20,24.61111111,198.12,101.4030116,16.81818182
142,CLE,2020-21,25.47619048,199.5714286,100.1790331,21.07142857
143,CLE,2021-22,26.04545455,198.9281818,97.79031164,13.83333333
144,CLE,2022-23,27.11764706,198.5682353,99.14987482,24.78571429
145,DAL,1996-97,26.94117647,202.0047059,100.0036951,21.57142857
146,DAL,1997-98,26.25,201.93,101.5195595,20.23076923
147,DAL,1998-99,26.64285714,204.47,101.4102114,21.33333333
148,DAL,1999-00,26.82352941,202.1541176,99.60346682,24.58333333
149,DAL,2000-01,26.73333333,203.8773333,103.3282576,25.46666667
150,DAL,2001-02,28.64705882,200.3611765,99.01646541,22.23076923
151,DAL,2002-03,29.75,201.77125,102.62519,19.81818182
152,DAL,2003-04,28.69230769,202.0276923,102.8956006,15.72727273
153,DAL,2004-05,27.92857143,204.8328571,102.8033869,11.63636364
154,DAL,2005-06,27.6875,202.8825,101.0092685,11.4
155,DAL,2006-07,28.46666667,202.0146667,102.2093973,16.75
156,DAL,2007-08,30.06666667,199.644,101.0300581,14.69230769
157,DAL,2008-09,28.26666667,201.168,99.79024,18.25
158,DAL,2009-10,30.69230769,199.2923077,100.1042652,14.81818182
159,DAL,2010-11,29.73333333,200.9986667,98.85281653,16.28571429
160,DAL,2011-12,30.06666667,201.3373333,99.82047947,15.64285714
161,DAL,2012-13,28.47619048,197.7571429,99.46624571,16.3125
162,DAL,2013-14,28.73333333,198.2893333,98.21778773,22.69230769
163,DAL,2014-15,29.5,200.81875,99.4216965,18.07692308
164,DAL,2015-16,30.06666667,202.692,102.965384,23.16666667
165,DAL,2016-17,27.26315789,199.3231579,96.63896926,29.33333333
166,DAL,2017-18,27,202.3533333,99.20705029,20.375
167,DAL,2018-19,28.0625,200.18375,95.3393685,22.5
168,DAL,2019-20,27.22222222,199.1077778,98.429464,16.63636364
169,DAL,2020-21,26.58823529,200.66,98.74964659,21.66666667
170,DAL,2021-22,27.0952381,198.7247619,98.68865943,26.14285714
171,DAL,2022-23,28.38095238,197.6361905,95.53511505,21.84615385
172,DEN,1996-97,27.35294118,197.0741176,94.48054541,30.23529412
173,DEN,1997-98,26.4,199.644,100.6369451,23.46153846
174,DEN,1998-99,25.25,198.91375,97.3805325,20.8
175,DEN,1999-00,26.53333333,199.8133333,98.0665904,20.2
176,DEN,2000-01,28.66666667,202.0146667,104.1144837,25.08333333
177,DEN,2001-02,27.70588235,201.1082353,103.0187478,23
178,DEN,2002-03,24.75,200.66,99.393347,20.6
179,DEN,2003-04,26.66666667,201.676,99.18545067,22.76923077
180,DEN,2004-05,28.33333333,199.136,97.1594064,27.14285714
181,DEN,2005-06,28,199.0164706,98.96310165,22.53333333
182,DEN,2006-07,26.78571429,201.2042857,101.0862171,17
183,DEN,2007-08,27.6,199.4746667,100.3043109,19.5
184,DEN,2008-09,27.15384615,200.8553846,99.72045662,19.27272727
185,DEN,2009-10,27.92307692,200.4646154,101.5348246,13.8
